0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal
Ollie Watkins,Morgan Rogers,Leon Bailey,Amadou Onana,Ollie Watkins,Morgan Rogers,Amadou Onana,Morgan Rogers,Jacob Ramsey,Jhon Durán,Ross Barkley,Declan Rice,Bukayo Saka,Thomas Partey,Kai Havertz,Leandro Trossard,Thomas Partey,Martin Odegaard,Leandro Trossard,Leandro Trossard
0.8919999694824219,0.779000015258789,0.899000015258789,0.8059999847412109,0.94,0.9009999847412109,0.894000015258789,0.8190000152587891,0.8730000305175781,0.924000015258789,0.7759999847412109,0.8719999694824219,0.8669999694824219,0.745999984741211,0.955,0.8690000152587891,0.8119999694824219,0.8930000305175781,0.779000015258789,0.7380000305175781
0.56,0.3920000076293945,0.3029999923706055,0.5029999923706054,0.519000015258789,0.29700000762939455,0.500999984741211,0.34799999237060547,0.6469999694824219,0.5940000152587891,0.644000015258789,0.7090000152587891,0.34400001525878904,0.625999984741211,0.5479999923706055,0.565,0.4129999923706055,0.47099998474121096,0.6630000305175782,0.5420000076293945
0.3767159879207611,0.0289393812417984,0.05440268665552139,0.05763914808630943,0.4753965139389038,0.05026872456073761,0.054350513964891434,0.12375395745038986,0.042012423276901245,0.06511788815259933,0.015442472882568836,0.0387347973883152,0.06579126417636871,0.01506333239376545,0.614169716835022,0.07451161742210388,0.051377709954977036,0.483364999294281,0.027705498039722443,0.043267685920000076
MissedShots,BlockedShot,SavedShot,BlockedShot,SavedShot,BlockedShot,MissedShots,BlockedShot,SavedShot,BlockedShot,MissedShots,SavedShot,SavedShot,MissedShots,MissedShots,Goal,Goal,MissedShots,MissedShots,BlockedShot
Pass,Pass,BallTouch,Pass,Rebound,Pass,Cross,TakeOn,None,Cross,Pass,None,Pass,Pass,Pass,None,Pass,Pass,Pass,Pass
OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,FromCorner,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay,OpenPlay
